Exported at: 2025-06-13 16:42:31
Setup: Setup Asa 1
Velocity: 10 km/h
Timestamp,Load Cell,Weight
16:42:14,FL,2.318
16:42:14,FR,0.000
16:42:14,RL,1.538
16:42:14,RR,0.000
16:42:16,FL,-0.085
16:42:16,FR,0.000
16:42:16,RL,0.003
16:42:16,RR,0.000
16:42:18,FL,-0.055
16:42:18,FR,0.000
16:42:18,RL,0.086
16:42:18,RR,0.000
16:42:20,FL,1.517
16:42:20,FR,0.000
16:42:20,RL,1.185
16:42:20,RR,0.000
16:42:22,FL,1.490
16:42:22,FR,0.000
16:42:22,RL,1.121
16:42:22,RR,0.000
16:42:24,FL,1.493
16:42:24,FR,0.000
16:42:24,RL,1.096
16:42:24,RR,0.000
16:42:26,FL,1.502
16:42:26,FR,0.000
16:42:26,RL,1.111
16:42:26,RR,0.000
16:42:29,FL,1.524
16:42:29,FR,0.000
16:42:29,RL,1.122
16:42:29,RR,0.000
16:42:31,FL,1.705
16:42:31,FR,0.000
16:42:31,RL,1.341
16:42:31,RR,0.000

Exported at: 2025-06-13 16:42:42
Setup: Setup Asa 2
Velocity: 10 km/h
Timestamp,Load Cell,Weight
16:42:33,FL,2.676
16:42:33,FR,0.000
16:42:33,RL,1.809
16:42:33,RR,0.000
16:42:35,FL,0.360
16:42:35,FR,0.000
16:42:35,RL,0.421
16:42:35,RR,0.000
16:42:37,FL,2.440
16:42:37,FR,0.000
16:42:37,RL,1.577
16:42:37,RR,0.000
16:42:39,FL,0.291
16:42:39,FR,0.000
16:42:39,RL,0.193
16:42:39,RR,0.000
16:42:42,FL,2.474
16:42:42,FR,0.000
16:42:42,RL,1.516
16:42:42,RR,0.000

Exported at: 2025-06-13 16:42:52
Setup: Setup Asa 3
Velocity: 10 km/h
Timestamp,Load Cell,Weight
16:42:44,FL,2.522
16:42:44,FR,0.000
16:42:44,RL,1.521
16:42:44,RR,0.000
16:42:46,FL,0.530
16:42:46,FR,0.000
16:42:46,RL,0.893
16:42:46,RR,0.000
16:42:48,FL,2.834
16:42:48,FR,0.000
16:42:48,RL,1.772
16:42:48,RR,0.000
16:42:50,FL,0.282
16:42:50,FR,0.000
16:42:50,RL,0.170
16:42:50,RR,0.000
16:42:52,FL,2.853
16:42:52,FR,0.000
16:42:52,RL,1.772
16:42:52,RR,0.000

Exported at: 2025-06-13 16:43:11
Setup: Setup Asa 4
Velocity: 10 km/h
Timestamp,Load Cell,Weight
16:42:55,FL,2.958
16:42:55,FR,0.000
16:42:55,RL,1.883
16:42:55,RR,0.000
16:42:57,FL,0.257
16:42:57,FR,0.000
16:42:57,RL,0.441
16:42:57,RR,0.000
16:42:59,FL,2.541
16:42:59,FR,0.000
16:42:59,RL,1.686
16:42:59,RR,0.000
16:43:01,FL,0.234
16:43:01,FR,0.000
16:43:01,RL,0.982
16:43:01,RR,0.000
16:43:03,FL,2.797
16:43:03,FR,0.000
16:43:03,RL,1.911
16:43:03,RR,0.000
16:43:05,FL,1.467
16:43:05,FR,0.000
16:43:05,RL,1.158
16:43:05,RR,0.000
16:43:07,FL,0.197
16:43:07,FR,0.000
16:43:07,RL,0.261
16:43:07,RR,0.000
16:43:10,FL,3.529
16:43:10,FR,0.000
16:43:10,RL,2.378
16:43:10,RR,0.000

